scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Gallicolumba rufigula,Gallicolumba_rufigula,Nomadic,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,1350000,0,0,1,0,0,1,0,0,0,0,3
Gallicolumba tristigmata,Gallicolumba_tristigmata,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,426000,0,0,1,0,0,1,0,0,0,0,3
Gallicrex cinerea,Gallicrex_cinerea,Full Migrant,Least Concern,Decreasing,0,0,0,0,0,1,1,1,1,31400000,0,0,1,1,0,0,0,0,0,1,5
Gallinago andina,Gallinago_andina,Altitudinal Migrant,Least Concern,Stable,1,1,0,0,0,0,0,0,0,425700,1,0,0,0,0,0,0,0,0,1,3
Gallinago delicata,Gallinago_gallinago,Full Migrant,Least Concern,Increasing,1,1,1,0,0,1,0,1,1,21000000,1,0,1,1,0,1,1,0,0,1,2
Gallinago gallinago,Gallinago_gallinago,Full Migrant,Least Concern,Decreasing,1,0,0,1,1,1,1,1,1,21500000,1,1,1,1,0,1,1,0,0,1,5
Gallinago hardwickii,Gallinago_hardwickii,Full Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,1,1580000,0,0,1,1,0,0,1,0,0,1,2
Gallinago imperialis,Gallinago_imperialis,Not a Migrant,Near Threatened,Decreasing,1,1,0,0,0,0,0,0,0,692000,1,0,0,0,0,1,1,0,0,0,3
Gallinago jamesoni,Gallinago_jamesoni,Not a Migrant,Least Concern,Unknown,1,1,1,0,0,0,0,0,0,2970600,1,0,0,0,0,1,0,0,0,1,3
Gallinago macrodactyla,Gallinago_macrodactyla,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,1,1,0,0,0,268000,0,1,0,1,0,0,0,0,0,1,3
